location,dbn,buildingName,buildingCode,address,waterTesting,elevatedResults,healthDptProtocolImplemented,dateLastTested,elevatedSamples,totalSamples,note
Brooklyn Frontiers High School,K423,PACIFIC ALT HS - K,K520,112 SCHERMERHORN STREET BROOKLYN 11201,Yes,No,No,,,,
P.S. K811 Connie Lekas School,K811,EDWARD R. MURROW HS - K,K525,1600 AVENUE L BROOKLYN 11230,Yes,No,No,,,,
Edward R. Murrow High School,K525,EDWARD R. MURROW HS - K,K525,1600 AVENUE L BROOKLYN 11230,Yes,No,No,,,,
Leon M. Goldstein High School for the Sciences,K535,LEON GOLDSTEIN HS - BROOKLYN,K535,1830 SHORE BOULEVARD BROOKLYN 11235,Yes,"Yes, in 2004",Yes,2005,0,49,
P.S. K053,K053,LEON GOLDSTEIN HS - BROOKLYN,K535,1830 SHORE BOULEVARD BROOKLYN 11235,Yes,"Yes, in 2004",Yes,2005,0,49,
P.S. K721 - Brooklyn Occupational Training Center,K721,JOHN DEWEY HS - K,K540,50 AVENUE X BROOKLYN 11223,Yes,No,No,,,,
John Dewey High School,K540,JOHN DEWEY HS - K,K540,50 AVENUE X BROOKLYN 11223,Yes,No,No,,,,
All City Leadership Secondary School,K554,ALL CITY LEADERSHIP SECONDARY SCHOOL - BROOKLYN,K554,321 PALMETTO STREET BROOKLYN 11237,Yes,No,Yes,,,,
P.S. K369 - Coy L. Cox School,K369,GEORGE WESTINGHOUSE VOC HS - K,K580,105 TECH PLACE BROOKLYN 11201,Yes,No,No,,,,
George Westinghouse Career and Technical Education High School,K605,GEORGE WESTINGHOUSE VOC HS - K,K580,105 TECH PLACE BROOKLYN 11201,Yes,No,No,,,,
P.S. 008 Robert Fulton,K008,GEORGE WESTINGHOUSE VOC HS - K,K580,105 TECH PLACE BROOKLYN 11201,Yes,No,No,,,,
"City Polytechnic High School of Engineering, Architecture, and Technology",K674,GEORGE WESTINGHOUSE VOC HS - K,K580,105 TECH PLACE BROOKLYN 11201,Yes,No,No,,,,
Medgar Evers College Preparatory School,K590,MIDDLE COLLEGE HS - BROOKLYN,K590,1186 CARROLL STREET BROOKLYN 11225,Yes,No,No,,,,
P.S. K753 - School for Career Development,K753,CLARA BARTON HS - K,K600,901 CLASSON AVENUE BROOKLYN 11225,Yes,No,No,,,,
Clara Barton High School,K600,CLARA BARTON HS - K,K600,901 CLASSON AVENUE BROOKLYN 11225,Yes,No,No,,,,
Automotive High School,K610,AUTOMOTIVE TRADES VOC HS - K,K610,50 BEDFORD AVENUE BROOKLYN 11222,Yes,"Yes, in 2002",Yes,2005,0,27,
